customer_id,customer_name,email,join_date,customer_segment
1,Customer_1,customer1@email.com,2023-07-24,Regular
2,Customer_2,customer2@email.com,2022-11-23,VIP
3,Customer_3,customer3@email.com,2024-05-15,Premium
4,Customer_4,customer4@email.com,2023-07-24,Regular
5,Customer_5,customer5@email.com,2023-03-17,Premium
6,Customer_6,customer6@email.com,2022-07-29,Regular
7,Customer_7,customer7@email.com,2024-02-18,Regular
8,Customer_8,customer8@email.com,2024-01-06,Premium
9,Customer_9,customer9@email.com,2023-06-26,Regular
10,Customer_10,customer10@email.com,2024-07-29,VIP
11,Customer_11,customer11@email.com,2022-09-13,Premium
12,Customer_12,customer12@email.com,2022-06-11,VIP
13,Customer_13,customer13@email.com,2023-08-24,VIP
14,Customer_14,customer14@email.com,2024-01-11,VIP
15,Customer_15,customer15@email.com,2023-01-29,VIP
16,Customer_16,customer16@email.com,2022-05-23,Regular
17,Customer_17,customer17@email.com,2023-04-12,Premium
18,Customer_18,customer18@email.com,2022-06-13,Regular
19,Customer_19,customer19@email.com,2022-07-26,Premium
20,Customer_20,customer20@email.com,2023-07-24,Premium
21,Customer_21,customer21@email.com,2024-01-18,Regular
22,Customer_22,customer22@email.com,2024-01-29,Premium
23,Customer_23,customer23@email.com,2023-03-06,VIP
24,Customer_24,customer24@email.com,2023-07-01,VIP
25,Customer_25,customer25@email.com,2022-05-27,VIP
26,Customer_26,customer26@email.com,2022-12-17,VIP
27,Customer_27,customer27@email.com,2023-05-17,Regular
28,Customer_28,customer28@email.com,2024-08-04,Premium
29,Customer_29,customer29@email.com,2023-07-07,VIP
30,Customer_30,customer30@email.com,2023-03-26,VIP
31,Customer_31,customer31@email.com,2023-10-27,Regular
32,Customer_32,customer32@email.com,2023-04-15,Regular
33,Customer_33,customer33@email.com,2023-10-09,Premium
34,Customer_34,customer34@email.com,2023-07-03,Regular
35,Customer_35,customer35@email.com,2023-03-09,VIP
36,Customer_36,customer36@email.com,2023-10-07,Regular
37,Customer_37,customer37@email.com,2024-10-19,Premium
38,Customer_38,customer38@email.com,2024-07-28,Regular
39,Customer_39,customer39@email.com,2023-06-27,Regular
40,Customer_40,customer40@email.com,2023-05-21,VIP
41,Customer_41,customer41@email.com,2023-06-23,VIP
42,Customer_42,customer42@email.com,2024-05-27,VIP
43,Customer_43,customer43@email.com,2024-03-28,Premium
44,Customer_44,customer44@email.com,2023-03-26,Regular
45,Customer_45,customer45@email.com,2024-11-09,Premium
46,Customer_46,customer46@email.com,2022-07-06,Regular
47,Customer_47,customer47@email.com,2022-08-13,Regular
48,Customer_48,customer48@email.com,2022-11-24,VIP
49,Customer_49,customer49@email.com,2024-05-14,VIP
50,Customer_50,customer50@email.com,2022-05-11,Premium
51,Customer_51,customer51@email.com,2024-02-21,VIP
52,Customer_52,customer52@email.com,2024-08-16,VIP
53,Customer_53,customer53@email.com,2023-05-30,VIP
54,Customer_54,customer54@email.com,2022-01-24,VIP
55,Customer_55,customer55@email.com,2022-08-23,VIP
56,Customer_56,customer56@email.com,2023-07-01,VIP
57,Customer_57,customer57@email.com,2023-11-28,Regular
58,Customer_58,customer58@email.com,2023-08-25,Premium
59,Customer_59,customer59@email.com,2022-11-20,Premium
60,Customer_60,customer60@email.com,2022-01-07,VIP
61,Customer_61,customer61@email.com,2023-06-24,VIP
62,Customer_62,customer62@email.com,2023-01-01,VIP
63,Customer_63,customer63@email.com,2022-08-06,VIP
64,Customer_64,customer64@email.com,2023-09-04,VIP
65,Customer_65,customer65@email.com,2024-11-05,VIP
66,Customer_66,customer66@email.com,2023-02-12,Regular
67,Customer_67,customer67@email.com,2024-02-05,Regular
68,Customer_68,customer68@email.com,2024-12-22,Regular
69,Customer_69,customer69@email.com,2023-10-26,Premium
70,Customer_70,customer70@email.com,2022-02-09,Regular
71,Customer_71,customer71@email.com,2024-01-14,Premium
72,Customer_72,customer72@email.com,2023-05-06,Regular
73,Customer_73,customer73@email.com,2023-05-09,VIP
74,Customer_74,customer74@email.com,2022-06-11,Regular
75,Customer_75,customer75@email.com,2024-09-22,Regular
76,Customer_76,customer76@email.com,2024-12-26,Regular
77,Customer_77,customer77@email.com,2022-09-20,VIP
78,Customer_78,customer78@email.com,2024-08-31,VIP
79,Customer_79,customer79@email.com,2022-12-05,Premium
80,Customer_80,customer80@email.com,2024-12-16,VIP
81,Customer_81,customer81@email.com,2024-05-16,Regular
82,Customer_82,customer82@email.com,2023-02-16,VIP
83,Customer_83,customer83@email.com,2023-10-01,Premium
84,Customer_84,customer84@email.com,2024-02-04,Premium
85,Customer_85,customer85@email.com,2024-11-25,Premium
86,Customer_86,customer86@email.com,2022-09-05,Regular
87,Customer_87,customer87@email.com,2023-04-06,Regular
88,Customer_88,customer88@email.com,2023-11-24,Regular
89,Customer_89,customer89@email.com,2023-04-17,VIP
90,Customer_90,customer90@email.com,2023-03-28,Regular
91,Customer_91,customer91@email.com,2022-05-26,VIP
92,Customer_92,customer92@email.com,2022-05-01,Regular
93,Customer_93,customer93@email.com,2022-05-19,Regular
94,Customer_94,customer94@email.com,2023-11-08,Regular
95,Customer_95,customer95@email.com,2024-11-18,Regular
96,Customer_96,customer96@email.com,2023-07-25,VIP
97,Customer_97,customer97@email.com,2024-09-21,Regular
98,Customer_98,customer98@email.com,2022-09-28,VIP
99,Customer_99,customer99@email.com,2024-08-26,Regular
